0,8,30,15,0,6,10,3,19,0,9,52,46,191,1,4,1,63,44,112,12,21,4,1,15,0
10,0,0,0,50,0,0,0,6,0,0,13,0,0,12,0,0,12,4,4,16,0,0,0,11,0
78,0,2,0,32,0,0,44,7,0,14,2,0,0,28,0,0,16,2,18,1,0,0,0,6,0
9,0,0,1,40,0,1,0,21,0,0,1,1,4,16,0,0,5,6,0,7,0,0,0,2,0
52,2,24,54,29,7,5,0,12,1,2,30,20,83,13,10,0,146,94,24,0,21,15,4,9,0
11,0,0,0,14,9,1,0,13,0,0,1,0,0,36,0,0,16,0,4,6,0,0,0,0,0
5,0,0,0,27,0,1,28,8,0,0,1,0,7,10,0,0,16,6,4,1,0,0,0,1,0
110,0,0,0,208,0,0,0,63,0,0,0,0,0,67,0,0,6,3,22,3,0,0,0,1,0
8,4,53,20,21,14,25,0,0,0,3,43,18,94,35,2,0,24,78,70,1,17,0,2,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,11,0,0,0,6,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,3,0
17,0,0,26,58,3,0,0,44,0,0,60,1,1,28,1,0,2,7,3,5,4,2,0,8,0
35,6,2,0,67,0,0,0,19,0,0,0,3,1,30,8,0,0,3,0,7,0,0,0,13,0
19,0,13,124,62,0,57,0,33,0,5,3,2,9,30,0,1,0,24,39,1,0,1,0,13,0
2,5,10,5,1,63,3,0,7,0,4,22,37,121,13,24,0,96,19,32,107,12,20,0,1,0
25,0,0,0,35,0,0,0,5,0,0,16,0,0,21,10,0,16,0,3,6,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
29,1,5,9,118,3,4,0,56,0,6,9,6,10,38,1,0,3,36,21,5,2,1,0,17,0
15,0,7,0,59,0,0,22,17,0,6,3,3,0,17,13,0,0,21,74,10,0,5,0,0,0
22,1,5,0,56,1,2,285,50,0,0,5,0,4,103,0,0,21,22,8,10,0,3,0,15,0
2,5,8,1,7,2,10,0,3,0,0,15,6,25,0,9,0,53,34,27,0,2,0,0,0,0
2,0,0,0,69,0,0,0,16,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,59,0,0,54,39,0,0,1,0,5,27,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
2,0,0,0,14,0,0,0,2,0,0,1,0,2,34,0,0,1,2,2,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
